zip,county_name,2020_mean_fmr,2019_mean_fmr,2018_mean_fmr,2017_mean_fmr,2016_mean_fmr,2015_mean_fmr,2014_mean_fmr,2013_mean_fmr,2012_mean_fmr,2011_mean_fmr
32809,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32810,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32812,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32814,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32817,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32818,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32819,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32820,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32821,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32822,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32824,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32825,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32826,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32827,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32828,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32829,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32832,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32833,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32835,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32836,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32837,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32839,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32901,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32903,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32904,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32905,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32907,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32908,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32909,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32920,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32926,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32927,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32931,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
